# ---------------------------------- WARNING ----------------------------------------,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,
# may not have received Director's approval. Any such data values are qualified,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,
# for any damages resulting from its use.,,,,
#,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,
#,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,
#,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,
# retrieved: 2021-01-25 22:37:36 EST       (caww02),,,,
#,,,,
# Data for the following 1 site(s) are contained in this file,,,,
#    USGS 10338000 TRUCKEE R NR TRUCKEE CA,,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 10338000,,,,
#            TS   parameter     statistic     Description,,,,
"#          7600       00060     00003     Discharge, cubic feet per second (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output:,,,,
#        ,,,,
#     A  Approved for publication -- Processing and review completed.,,,,
#     P  Provisional data subject to revision.,,,,
#     e  Value has been estimated.,,,,
# ,,,,
agency_cd,site_no,datetime,discharge_cfs,note
5s,15s,20d,14n,10s
USGS,10338000,1/25/10,26.2,A
USGS,10338000,1/26/10,29.1,A
USGS,10338000,1/27/10,29.1,A
USGS,10338000,1/28/10,28,A
USGS,10338000,1/29/10,27.2,A
USGS,10338000,1/30/10,26.3,A
USGS,10338000,1/31/10,24.9,A
USGS,10338000,2/1/10,25.4,A
USGS,10338000,2/2/10,25,A
USGS,10338000,2/3/10,24.3,A
USGS,10338000,2/4/10,23.9,A
USGS,10338000,2/5/10,27.5,A
USGS,10338000,2/6/10,27.4,A
USGS,10338000,2/7/10,27.6,A
USGS,10338000,2/8/10,28.4,A
USGS,10338000,2/9/10,28.8,A
USGS,10338000,2/10/10,28.3,A
USGS,10338000,2/11/10,28.4,A
USGS,10338000,2/12/10,29.1,A
USGS,10338000,2/13/10,29.4,A
USGS,10338000,2/14/10,29.9,A
USGS,10338000,2/15/10,31.1,A
USGS,10338000,2/16/10,36.8,A
USGS,10338000,2/17/10,40.9,A
USGS,10338000,2/18/10,45.2,A
USGS,10338000,2/19/10,47.8,A
USGS,10338000,2/20/10,45.5,A
USGS,10338000,2/21/10,43.5,A
USGS,10338000,2/22/10,39.5,A
USGS,10338000,2/23/10,38.2,A
USGS,10338000,2/24/10,46.6,A
USGS,10338000,2/25/10,45.8,A
USGS,10338000,2/26/10,48.6,A
USGS,10338000,2/27/10,57.2,A
USGS,10338000,2/28/10,55.3,A
USGS,10338000,3/1/10,53.5,A
USGS,10338000,3/2/10,53.9,A
USGS,10338000,3/3/10,53.5,A
USGS,10338000,3/4/10,51.1,A
USGS,10338000,3/5/10,49.6,A
USGS,10338000,3/6/10,50,A
USGS,10338000,3/7/10,48.9,A
USGS,10338000,3/8/10,48.9,A
USGS,10338000,3/9/10,47.2,A
USGS,10338000,3/10/10,46.8,A
USGS,10338000,3/11/10,45.8,A
USGS,10338000,3/12/10,48,A
USGS,10338000,3/13/10,50.8,A
USGS,10338000,3/14/10,51,A
USGS,10338000,3/15/10,50.3,A
USGS,10338000,3/16/10,55.9,A
USGS,10338000,3/17/10,64.5,A
USGS,10338000,3/18/10,76.3,A
USGS,10338000,3/19/10,78.8,A
USGS,10338000,3/20/10,82.6,A
USGS,10338000,3/21/10,88.3,A
USGS,10338000,3/22/10,95.3,A
USGS,10338000,3/23/10,106,A
USGS,10338000,3/24/10,106,A
USGS,10338000,3/25/10,107,A
USGS,10338000,3/26/10,86.2,A
USGS,10338000,3/27/10,80,A
USGS,10338000,3/28/10,89,A
USGS,10338000,3/29/10,125,A
USGS,10338000,3/30/10,217,A
USGS,10338000,3/31/10,149,A
USGS,10338000,4/1/10,129,A
USGS,10338000,4/2/10,115,A
USGS,10338000,4/3/10,105,A
USGS,10338000,4/4/10,97,A
USGS,10338000,4/5/10,101,A
USGS,10338000,4/6/10,99.3,A
USGS,10338000,4/7/10,102,A
USGS,10338000,4/8/10,118,A
USGS,10338000,4/9/10,137,A
USGS,10338000,4/10/10,140,A
USGS,10338000,4/11/10,139,A
USGS,10338000,4/12/10,135,A
USGS,10338000,4/13/10,126,A
USGS,10338000,4/14/10,131,A
USGS,10338000,4/15/10,135,A
USGS,10338000,4/16/10,160,A
USGS,10338000,4/17/10,180,A
USGS,10338000,4/18/10,202,A
USGS,10338000,4/19/10,233,A
USGS,10338000,4/20/10,277,A
USGS,10338000,4/21/10,234,A
USGS,10338000,4/22/10,211,A
USGS,10338000,4/23/10,208,A
USGS,10338000,4/24/10,235,A
USGS,10338000,4/25/10,272,A
USGS,10338000,4/26/10,304,A
USGS,10338000,4/27/10,364,A
USGS,10338000,4/28/10,331,A
USGS,10338000,4/29/10,259,A
USGS,10338000,4/30/10,235,A
USGS,10338000,5/1/10,235,A
USGS,10338000,5/2/10,251,A
USGS,10338000,5/3/10,278,A
USGS,10338000,5/4/10,392,A
USGS,10338000,5/5/10,399,A
USGS,10338000,5/6/10,343,A
USGS,10338000,5/7/10,320,A
USGS,10338000,5/8/10,337,A
USGS,10338000,5/9/10,327,A
USGS,10338000,5/10/10,295,A
USGS,10338000,5/11/10,260,A
USGS,10338000,5/12/10,247,A
USGS,10338000,5/13/10,260,A
USGS,10338000,5/14/10,283,A
USGS,10338000,5/15/10,339,A
USGS,10338000,5/16/10,414,A
USGS,10338000,5/17/10,424,A
USGS,10338000,5/18/10,366,A
USGS,10338000,5/19/10,364,A
USGS,10338000,5/20/10,480,A
USGS,10338000,5/21/10,403,A
USGS,10338000,5/22/10,321,A
USGS,10338000,5/23/10,276,A
USGS,10338000,5/24/10,253,A
USGS,10338000,5/25/10,251,A
USGS,10338000,5/26/10,264,A
USGS,10338000,5/27/10,259,A
USGS,10338000,5/28/10,242,A
USGS,10338000,5/29/10,244,A
USGS,10338000,5/30/10,275,A
USGS,10338000,5/31/10,321,A
USGS,10338000,6/1/10,403,A
USGS,10338000,6/2/10,484,A
USGS,10338000,6/3/10,707,A
USGS,10338000,6/4/10,880,A
USGS,10338000,6/5/10,808,A
USGS,10338000,6/6/10,850,A
USGS,10338000,6/7/10,780,A
USGS,10338000,6/8/10,632,A
USGS,10338000,6/9/10,609,A
USGS,10338000,6/10/10,498,A
USGS,10338000,6/11/10,410,A
USGS,10338000,6/12/10,394,A
USGS,10338000,6/13/10,399,A
USGS,10338000,6/14/10,436,A
USGS,10338000,6/15/10,459,A
USGS,10338000,6/16/10,393,A
USGS,10338000,6/17/10,344,A
USGS,10338000,6/18/10,335,A
USGS,10338000,6/19/10,336,A
USGS,10338000,6/20/10,316,A
USGS,10338000,6/21/10,301,A
USGS,10338000,6/22/10,311,A
USGS,10338000,6/23/10,327,A
USGS,10338000,6/24/10,311,A
USGS,10338000,6/25/10,295,A
USGS,10338000,6/26/10,302,A
USGS,10338000,6/27/10,317,A
USGS,10338000,6/28/10,332,A
USGS,10338000,6/29/10,304,A
USGS,10338000,6/30/10,272,A
USGS,10338000,7/1/10,242,A
USGS,10338000,7/2/10,223,A
USGS,10338000,7/3/10,212,A
USGS,10338000,7/4/10,202,A
USGS,10338000,7/5/10,198,A
USGS,10338000,7/6/10,195,A
USGS,10338000,7/7/10,192,A
USGS,10338000,7/8/10,189,A
USGS,10338000,7/9/10,183,A
USGS,10338000,7/10/10,178,A
USGS,10338000,7/11/10,175,A
USGS,10338000,7/12/10,188,A
USGS,10338000,7/13/10,213,A
USGS,10338000,7/14/10,263,A
USGS,10338000,7/15/10,272,A
USGS,10338000,7/16/10,270,A
USGS,10338000,7/17/10,272,A
USGS,10338000,7/18/10,281,A
USGS,10338000,7/19/10,295,A
USGS,10338000,7/20/10,309,A
USGS,10338000,7/21/10,306,A
USGS,10338000,7/22/10,302,A
USGS,10338000,7/23/10,304,A
USGS,10338000,7/24/10,319,A
USGS,10338000,7/25/10,316,A
USGS,10338000,7/26/10,324,A
USGS,10338000,7/27/10,342,A
USGS,10338000,7/28/10,347,A
USGS,10338000,7/29/10,363,A
USGS,10338000,7/30/10,366,A
USGS,10338000,7/31/10,368,A
USGS,10338000,8/1/10,366,A
USGS,10338000,8/2/10,369,A
USGS,10338000,8/3/10,372,A
USGS,10338000,8/4/10,374,A
USGS,10338000,8/5/10,378,A
USGS,10338000,8/6/10,386,A
USGS,10338000,8/7/10,379,A
USGS,10338000,8/8/10,380,A
USGS,10338000,8/9/10,381,A
USGS,10338000,8/10/10,369,A
USGS,10338000,8/11/10,350,A
USGS,10338000,8/12/10,344,A
USGS,10338000,8/13/10,333,A
USGS,10338000,8/14/10,329,A
USGS,10338000,8/15/10,322,A
USGS,10338000,8/16/10,312,A
USGS,10338000,8/17/10,310,A
USGS,10338000,8/18/10,292,A
USGS,10338000,8/19/10,283,A
USGS,10338000,8/20/10,273,A
USGS,10338000,8/21/10,261,A
USGS,10338000,8/22/10,255,A
USGS,10338000,8/23/10,242,A
USGS,10338000,8/24/10,236,A
USGS,10338000,8/25/10,231,A
USGS,10338000,8/26/10,225,A
USGS,10338000,8/27/10,215,A
USGS,10338000,8/28/10,196,A
USGS,10338000,8/29/10,196,A
USGS,10338000,8/30/10,183,A
USGS,10338000,8/31/10,182,A
USGS,10338000,9/1/10,176,A
USGS,10338000,9/2/10,174,A
USGS,10338000,9/3/10,172,A
USGS,10338000,9/4/10,167,A
USGS,10338000,9/5/10,162,A
USGS,10338000,9/6/10,156,A
USGS,10338000,9/7/10,147,A
USGS,10338000,9/8/10,137,A
USGS,10338000,9/9/10,132,A
USGS,10338000,9/10/10,125,A
USGS,10338000,9/11/10,124,A
USGS,10338000,9/12/10,121,A
USGS,10338000,9/13/10,116,A
USGS,10338000,9/14/10,114,A
USGS,10338000,9/15/10,110,A
USGS,10338000,9/16/10,106,A
USGS,10338000,9/17/10,104,A
USGS,10338000,9/18/10,99.9,A
USGS,10338000,9/19/10,88.5,A
USGS,10338000,9/20/10,87.7,A
USGS,10338000,9/21/10,77,A
USGS,10338000,9/22/10,68.5,A
USGS,10338000,9/23/10,64.7,A
USGS,10338000,9/24/10,63.3,A
USGS,10338000,9/25/10,61.5,A
USGS,10338000,9/26/10,60.3,A
USGS,10338000,9/27/10,59,A
USGS,10338000,9/28/10,57.8,A
USGS,10338000,9/29/10,57.6,A
USGS,10338000,9/30/10,57,A
USGS,10338000,10/1/10,58.7,A
USGS,10338000,10/2/10,61.1,A
USGS,10338000,10/3/10,74.3,A
USGS,10338000,10/4/10,86.9,A
USGS,10338000,10/5/10,94.2,A
USGS,10338000,10/6/10,96.5,A
USGS,10338000,10/7/10,90.2,A
USGS,10338000,10/8/10,87.8,A
USGS,10338000,10/9/10,84.9,A
USGS,10338000,10/10/10,84.3,A
USGS,10338000,10/11/10,83,A
USGS,10338000,10/12/10,83,A
USGS,10338000,10/13/10,78.5,A
USGS,10338000,10/14/10,76.7,A
USGS,10338000,10/15/10,76.4,A
USGS,10338000,10/16/10,72.7,A
USGS,10338000,10/17/10,73.5,A
USGS,10338000,10/18/10,82.6,A
USGS,10338000,10/19/10,77.6,A
USGS,10338000,10/20/10,73.1,A
USGS,10338000,10/21/10,70.4,A
USGS,10338000,10/22/10,66.2,A
USGS,10338000,10/23/10,68.1,A
USGS,10338000,10/24/10,785,A
USGS,10338000,10/25/10,430,A
USGS,10338000,10/26/10,170,A
USGS,10338000,10/27/10,107,A
USGS,10338000,10/28/10,112,A
USGS,10338000,10/29/10,153,A
USGS,10338000,10/30/10,150,A
USGS,10338000,10/31/10,145,A
USGS,10338000,11/1/10,144,A
USGS,10338000,11/2/10,135,A
USGS,10338000,11/3/10,135,A
USGS,10338000,11/4/10,132,A
USGS,10338000,11/5/10,131,A
USGS,10338000,11/6/10,128,A
USGS,10338000,11/7/10,159,A
USGS,10338000,11/8/10,181,A
USGS,10338000,11/9/10,158,A
USGS,10338000,11/10/10,159,A
USGS,10338000,11/11/10,154,A
USGS,10338000,11/12/10,138,A
USGS,10338000,11/13/10,138,A
USGS,10338000,11/14/10,134,A
USGS,10338000,11/15/10,149,A
USGS,10338000,11/16/10,140,A
USGS,10338000,11/17/10,131,A
USGS,10338000,11/18/10,121,A
USGS,10338000,11/19/10,122,A:e
USGS,10338000,11/20/10,130,A
USGS,10338000,11/21/10,146,A
USGS,10338000,11/22/10,157,A
USGS,10338000,11/23/10,151,A
USGS,10338000,11/24/10,162,A:e
USGS,10338000,11/25/10,164,A:e
USGS,10338000,11/26/10,153,A
USGS,10338000,11/27/10,157,A
USGS,10338000,11/28/10,161,A
USGS,10338000,11/29/10,161,A
USGS,10338000,11/30/10,148,A
USGS,10338000,12/1/10,86.4,A
USGS,10338000,12/2/10,84.2,A
USGS,10338000,12/3/10,106,A
USGS,10338000,12/4/10,98.9,A
USGS,10338000,12/5/10,106,A
USGS,10338000,12/6/10,142,A
USGS,10338000,12/7/10,117,A
USGS,10338000,12/8/10,118,A
USGS,10338000,12/9/10,187,A
USGS,10338000,12/10/10,268,A
USGS,10338000,12/11/10,233,A
USGS,10338000,12/12/10,191,A
USGS,10338000,12/13/10,164,A
USGS,10338000,12/14/10,247,A
USGS,10338000,12/15/10,215,A
USGS,10338000,12/16/10,175,A
USGS,10338000,12/17/10,166,A
USGS,10338000,12/18/10,252,A
USGS,10338000,12/19/10,397,A
USGS,10338000,12/20/10,280,A
USGS,10338000,12/21/10,217,A
USGS,10338000,12/22/10,193,A
USGS,10338000,12/23/10,172,A
USGS,10338000,12/24/10,160,A
USGS,10338000,12/25/10,147,A
USGS,10338000,12/26/10,130,A
USGS,10338000,12/27/10,121,A
USGS,10338000,12/28/10,124,A
USGS,10338000,12/29/10,139,A
USGS,10338000,12/30/10,131,A
USGS,10338000,12/31/10,123,A
USGS,10338000,1/1/11,120,A
USGS,10338000,1/2/11,113,A
USGS,10338000,1/3/11,109,A
USGS,10338000,1/4/11,107,A
USGS,10338000,1/5/11,107,A
USGS,10338000,1/6/11,104,A
USGS,10338000,1/7/11,104,A
USGS,10338000,1/8/11,104,A
USGS,10338000,1/9/11,104,A
USGS,10338000,1/10/11,101,A
USGS,10338000,1/11/11,100,A
USGS,10338000,1/12/11,99.6,A
USGS,10338000,1/13/11,108,A
USGS,10338000,1/14/11,112,A
USGS,10338000,1/15/11,108,A
USGS,10338000,1/16/11,118,A
USGS,10338000,1/17/11,153,A
USGS,10338000,1/18/11,156,A
USGS,10338000,1/19/11,148,A
USGS,10338000,1/20/11,143,A
USGS,10338000,1/21/11,140,A
USGS,10338000,1/22/11,137,A
USGS,10338000,1/23/11,136,A
USGS,10338000,1/24/11,132,A
USGS,10338000,1/25/11,130,A
USGS,10338000,1/26/11,128,A
USGS,10338000,1/27/11,128,A
USGS,10338000,1/28/11,129,A
USGS,10338000,1/29/11,129,A
USGS,10338000,1/30/11,131,A
USGS,10338000,1/31/11,121,A
USGS,10338000,2/1/11,117,A
USGS,10338000,2/2/11,114,A
USGS,10338000,2/3/11,110,A
USGS,10338000,2/4/11,106,A
USGS,10338000,2/5/11,106,A
USGS,10338000,2/6/11,107,A
USGS,10338000,2/7/11,109,A
USGS,10338000,2/8/11,111,A
USGS,10338000,2/9/11,108,A
USGS,10338000,2/10/11,106,A
USGS,10338000,2/11/11,105,A
USGS,10338000,2/12/11,105,A
USGS,10338000,2/13/11,105,A
USGS,10338000,2/14/11,107,A
USGS,10338000,2/15/11,109,A
USGS,10338000,2/16/11,104,A
USGS,10338000,2/17/11,101,A:e
USGS,10338000,2/18/11,105,A:e
USGS,10338000,2/19/11,114,A
USGS,10338000,2/20/11,112,A
USGS,10338000,2/21/11,110,A
USGS,10338000,2/22/11,107,A
USGS,10338000,2/23/11,105,A
USGS,10338000,2/24/11,99.9,A
USGS,10338000,2/25/11,99.1,A:e
USGS,10338000,2/26/11,103,A
USGS,10338000,2/27/11,106,A
USGS,10338000,2/28/11,100,A
USGS,10338000,3/1/11,99,A
USGS,10338000,3/2/11,112,A
USGS,10338000,3/3/11,107,A
USGS,10338000,3/4/11,102,A
USGS,10338000,3/5/11,102,A
USGS,10338000,3/6/11,107,A
USGS,10338000,3/7/11,110,A
USGS,10338000,3/8/11,106,A
USGS,10338000,3/9/11,108,A
USGS,10338000,3/10/11,113,A
USGS,10338000,3/11/11,118,A
USGS,10338000,3/12/11,124,A
USGS,10338000,3/13/11,133,A
USGS,10338000,3/14/11,193,A
USGS,10338000,3/15/11,256,A
USGS,10338000,3/16/11,347,A
USGS,10338000,3/17/11,236,A
USGS,10338000,3/18/11,207,A
USGS,10338000,3/19/11,191,A
USGS,10338000,3/20/11,183,A
USGS,10338000,3/21/11,159,A
USGS,10338000,3/22/11,142,A
USGS,10338000,3/23/11,139,A
USGS,10338000,3/24/11,131,A
USGS,10338000,3/25/11,131,A
USGS,10338000,3/26/11,121,A
USGS,10338000,3/27/11,114,A
USGS,10338000,3/28/11,113,A
USGS,10338000,3/29/11,118,A
USGS,10338000,3/30/11,133,A
USGS,10338000,3/31/11,165,A
USGS,10338000,4/1/11,214,A
USGS,10338000,4/2/11,307,A
USGS,10338000,4/3/11,340,A
USGS,10338000,4/4/11,309,A
USGS,10338000,4/5/11,346,A
USGS,10338000,4/6/11,367,A
USGS,10338000,4/7/11,341,A
USGS,10338000,4/8/11,284,A
USGS,10338000,4/9/11,249,A
USGS,10338000,4/10/11,229,A
USGS,10338000,4/11/11,236,A
USGS,10338000,4/12/11,249,A
USGS,10338000,4/13/11,254,A
USGS,10338000,4/14/11,231,A
USGS,10338000,4/15/11,231,A
USGS,10338000,4/16/11,271,A
USGS,10338000,4/17/11,373,A
USGS,10338000,4/18/11,622,A
USGS,10338000,4/19/11,560,A
USGS,10338000,4/20/11,565,A
USGS,10338000,4/21/11,573,A
USGS,10338000,4/22/11,488,A
USGS,10338000,4/23/11,415,A
USGS,10338000,4/24/11,408,A
USGS,10338000,4/25/11,396,A
USGS,10338000,4/26/11,373,A
USGS,10338000,4/27/11,379,A
USGS,10338000,4/28/11,420,A
USGS,10338000,4/29/11,413,A
USGS,10338000,4/30/11,381,A
USGS,10338000,5/1/11,382,A
USGS,10338000,5/2/11,415,A
USGS,10338000,5/3/11,480,A
USGS,10338000,5/4/11,525,A
USGS,10338000,5/5/11,594,A
USGS,10338000,5/6/11,718,A
USGS,10338000,5/7/11,794,A
USGS,10338000,5/8/11,770,A
USGS,10338000,5/9/11,597,A
USGS,10338000,5/10/11,511,A
USGS,10338000,5/11/11,525,A
USGS,10338000,5/12/11,595,A
USGS,10338000,5/13/11,668,A
USGS,10338000,5/14/11,729,A
USGS,10338000,5/15/11,656,A
USGS,10338000,5/16/11,513,A
USGS,10338000,5/17/11,443,A
USGS,10338000,5/18/11,402,A
USGS,10338000,5/19/11,376,A
USGS,10338000,5/20/11,393,A
USGS,10338000,5/21/11,470,A
USGS,10338000,5/22/11,532,A
USGS,10338000,5/23/11,539,A
USGS,10338000,5/24/11,545,A
